pair,seed,side,winner,ticks,A_id,B_id,A_score,B_score,A_alive,B_alive,A_terr,B_terr
cgpt_vs_bomber,seed-1,A,B,5,cgpt,bomber,69,11,4,5,447,34
cgpt_vs_bomber,seed-1,B,B,13,cgpt,bomber,181,27,12,13,447,52
cgpt_vs_claude,seed-1,A,A,20,cgpt,claude,285,199,20,19,447,313
cgpt_vs_claude,seed-1,B,A,20,cgpt,claude,280,199,20,19,447,313
cgpt_vs_runner,seed-1,A,B,21,cgpt,runner,293,21,20,21,447,16
cgpt_vs_runner,seed-1,B,A,2000,cgpt,runner,28000,2000,2000,2000,447,16
claude_vs_bomber,seed-1,A,B,4,claude,bomber,39,9,3,4,313,31
claude_vs_bomber,seed-1,B,B,12,claude,bomber,119,25,11,12,313,52
claude_vs_runner,seed-1,A,B,20,claude,runner,199,20,19,20,313,16
claude_vs_runner,seed-1,B,A,2000,claude,runner,20000,2000,2000,2000,313,16
runner_vs_bomber,seed-1,A,NO_SUMMARY,NA,runner,bomber,NA,NA,NA,NA,NA,NA
runner_vs_bomber,seed-1,B,B,2000,runner,bomber,2000,3996,2000,2000,16,52
cgpt_vs_bomber,seed-2,A,B,5,cgpt,bomber,69,11,4,5,447,34
cgpt_vs_bomber,seed-2,B,B,13,cgpt,bomber,181,27,12,13,447,52
cgpt_vs_claude,seed-2,A,A,20,cgpt,claude,285,199,20,19,447,313
cgpt_vs_claude,seed-2,B,A,20,cgpt,claude,280,199,20,19,447,313
cgpt_vs_runner,seed-2,A,B,21,cgpt,runner,293,21,20,21,447,16
cgpt_vs_runner,seed-2,B,A,2000,cgpt,runner,28000,2000,2000,2000,447,16
claude_vs_bomber,seed-2,A,B,4,claude,bomber,39,9,3,4,313,31
claude_vs_bomber,seed-2,B,B,12,claude,bomber,119,25,11,12,313,52
claude_vs_runner,seed-2,A,B,20,claude,runner,199,20,19,20,313,16
claude_vs_runner,seed-2,B,A,2000,claude,runner,20000,2000,2000,2000,313,16
runner_vs_bomber,seed-2,A,NO_SUMMARY,NA,runner,bomber,NA,NA,NA,NA,NA,NA
runner_vs_bomber,seed-2,B,B,2000,runner,bomber,2000,3996,2000,2000,16,52
cgpt_vs_bomber,seed-3,A,B,5,cgpt,bomber,69,11,4,5,447,34
cgpt_vs_bomber,seed-3,B,B,13,cgpt,bomber,181,27,12,13,447,52
cgpt_vs_claude,seed-3,A,A,20,cgpt,claude,285,199,20,19,447,313
cgpt_vs_claude,seed-3,B,A,20,cgpt,claude,280,199,20,19,447,313
cgpt_vs_runner,seed-3,A,B,21,cgpt,runner,293,21,20,21,447,16
cgpt_vs_runner,seed-3,B,A,2000,cgpt,runner,28000,2000,2000,2000,447,16
claude_vs_bomber,seed-3,A,B,4,claude,bomber,39,9,3,4,313,31
claude_vs_bomber,seed-3,B,B,12,claude,bomber,119,25,11,12,313,52
claude_vs_runner,seed-3,A,B,20,claude,runner,199,20,19,20,313,16
claude_vs_runner,seed-3,B,A,2000,claude,runner,20000,2000,2000,2000,313,16
runner_vs_bomber,seed-3,A,NO_SUMMARY,NA,runner,bomber,NA,NA,NA,NA,NA,NA
runner_vs_bomber,seed-3,B,B,2000,runner,bomber,2000,3996,2000,2000,16,52
cgpt_vs_bomber,seed-4,A,B,5,cgpt,bomber,69,11,4,5,447,34
cgpt_vs_bomber,seed-4,B,B,13,cgpt,bomber,181,27,12,13,447,52
cgpt_vs_claude,seed-4,A,A,20,cgpt,claude,285,199,20,19,447,313
cgpt_vs_claude,seed-4,B,A,20,cgpt,claude,280,199,20,19,447,313
cgpt_vs_runner,seed-4,A,B,21,cgpt,runner,293,21,20,21,447,16
cgpt_vs_runner,seed-4,B,A,2000,cgpt,runner,28000,2000,2000,2000,447,16
claude_vs_bomber,seed-4,A,B,4,claude,bomber,39,9,3,4,313,31
claude_vs_bomber,seed-4,B,B,12,claude,bomber,119,25,11,12,313,52
claude_vs_runner,seed-4,A,B,20,claude,runner,199,20,19,20,313,16
claude_vs_runner,seed-4,B,A,2000,claude,runner,20000,2000,2000,2000,313,16
runner_vs_bomber,seed-4,A,NO_SUMMARY,NA,runner,bomber,NA,NA,NA,NA,NA,NA
runner_vs_bomber,seed-4,B,B,2000,runner,bomber,2000,3996,2000,2000,16,52
cgpt_vs_bomber,seed-5,A,B,5,cgpt,bomber,69,11,4,5,447,34
cgpt_vs_bomber,seed-5,B,B,13,cgpt,bomber,181,27,12,13,447,52
cgpt_vs_claude,seed-5,A,A,20,cgpt,claude,285,199,20,19,447,313
cgpt_vs_claude,seed-5,B,A,20,cgpt,claude,280,199,20,19,447,313
cgpt_vs_runner,seed-5,A,B,21,cgpt,runner,293,21,20,21,447,16
cgpt_vs_runner,seed-5,B,A,2000,cgpt,runner,28000,2000,2000,2000,447,16
claude_vs_bomber,seed-5,A,B,4,claude,bomber,39,9,3,4,313,31
claude_vs_bomber,seed-5,B,B,12,claude,bomber,119,25,11,12,313,52
claude_vs_runner,seed-5,A,B,20,claude,runner,199,20,19,20,313,16
claude_vs_runner,seed-5,B,A,2000,claude,runner,20000,2000,2000,2000,313,16
runner_vs_bomber,seed-5,A,NO_SUMMARY,NA,runner,bomber,NA,NA,NA,NA,NA,NA
runner_vs_bomber,seed-5,B,B,2000,runner,bomber,2000,3996,2000,2000,16,52
